               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073505,            0.045244,            0.019557,             0.45696,             0.43649,             0.41363,             0.17259,            0.054542,            0.037121,            0.016863,           0.0033208,           0.0033208,            0.070113
                   1,            0.053962,            0.036763,           0.0081386,             0.73902,             0.65945,             0.70713,             0.31105,            0.043608,             0.03166,           0.0076911,           0.0064345,           0.0064345,            0.039894
                   2,            0.048167,            0.035332,           0.0064071,             0.73882,             0.64713,              0.6964,              0.3457,            0.042769,            0.033818,           0.0093997,           0.0093283,           0.0093283,            0.009454
                   3,            0.043685,            0.035618,           0.0056501,             0.77201,             0.67473,             0.75165,             0.39592,            0.039792,            0.031273,           0.0078809,             0.00901,             0.00901,             0.00901
                   4,            0.041028,            0.033803,           0.0046079,             0.79999,             0.69944,             0.77347,             0.41434,            0.038153,            0.028977,            0.007823,             0.00901,             0.00901,             0.00901
                   5,            0.039599,            0.032898,           0.0041875,             0.81137,              0.7493,             0.81826,             0.44348,            0.037215,            0.028079,           0.0056375,             0.00868,             0.00868,             0.00868
                   6,            0.038568,            0.032089,           0.0034906,             0.82199,             0.76639,             0.82686,             0.45379,            0.036932,            0.027431,           0.0053945,             0.00835,             0.00835,             0.00835
                   7,            0.037723,             0.03172,           0.0032909,             0.81924,             0.76472,              0.8235,             0.45617,            0.036902,            0.027738,           0.0050323,             0.00802,             0.00802,             0.00802
                   8,            0.036983,            0.030672,           0.0031379,             0.83485,             0.76255,             0.83144,             0.45782,            0.036455,            0.027293,           0.0055042,             0.00769,             0.00769,             0.00769
                   9,            0.036519,            0.030457,           0.0027863,              0.8294,             0.79176,             0.84598,             0.47415,            0.035582,            0.026498,           0.0055714,             0.00736,             0.00736,             0.00736
                  10,            0.036173,            0.030251,           0.0027403,             0.83128,             0.77716,             0.83502,             0.46681,             0.03553,             0.02693,           0.0051613,             0.00703,             0.00703,             0.00703
                  11,            0.035613,            0.030432,           0.0025587,             0.82061,             0.77218,             0.82977,             0.46214,            0.035878,            0.027574,           0.0047136,              0.0067,              0.0067,              0.0067
                  12,             0.03522,             0.02965,           0.0024172,             0.84391,             0.78935,             0.84823,             0.47634,            0.035233,            0.026495,           0.0042256,             0.00637,             0.00637,             0.00637
                  13,            0.034976,            0.029374,           0.0024089,             0.83544,             0.77525,             0.84563,             0.47613,            0.035606,            0.026925,           0.0049582,             0.00604,             0.00604,             0.00604
                  14,            0.034433,            0.029212,           0.0021767,              0.8404,             0.79073,             0.85204,             0.48353,             0.03495,            0.026474,           0.0049779,             0.00571,             0.00571,             0.00571
                  15,            0.034161,            0.028733,           0.0020001,             0.84141,              0.7824,             0.84984,             0.48242,            0.034868,            0.026588,           0.0039901,             0.00538,             0.00538,             0.00538
                  16,             0.03407,            0.028623,           0.0018468,             0.84298,             0.79777,             0.85173,             0.48669,            0.035138,            0.026673,           0.0043897,             0.00505,             0.00505,             0.00505
                  17,            0.033888,            0.028486,           0.0019078,             0.83743,             0.78988,             0.84936,             0.48187,            0.035112,             0.02686,           0.0048448,             0.00472,             0.00472,             0.00472
                  18,            0.033494,            0.028279,           0.0017338,             0.84234,             0.79579,             0.85069,             0.48684,            0.034568,            0.026335,           0.0049856,             0.00439,             0.00439,             0.00439
                  19,            0.033005,            0.028083,            0.001734,             0.84971,             0.81026,             0.86583,             0.49239,            0.034448,            0.025825,           0.0039581,             0.00406,             0.00406,             0.00406
                  20,            0.033199,            0.027925,           0.0017121,             0.83951,             0.80055,             0.85313,             0.48717,            0.034552,            0.026218,           0.0053833,             0.00373,             0.00373,             0.00373
                  21,            0.032728,            0.027523,           0.0015742,             0.84314,             0.79956,              0.8521,              0.4931,            0.034282,             0.02623,           0.0062113,              0.0034,              0.0034,              0.0034
                  22,            0.032584,            0.027427,           0.0014803,             0.84818,             0.79276,             0.85627,             0.49646,            0.034248,            0.026553,           0.0049387,             0.00307,             0.00307,             0.00307
                  23,            0.032239,            0.027293,           0.0013874,             0.84846,             0.80772,             0.86324,             0.49494,            0.034418,            0.026082,            0.004589,             0.00274,             0.00274,             0.00274
                  24,            0.032106,            0.027071,           0.0012997,             0.85558,             0.80017,              0.8616,             0.49699,            0.034194,            0.026333,           0.0046335,             0.00241,             0.00241,             0.00241
                  25,            0.031796,             0.02673,           0.0013195,             0.84604,             0.80863,             0.86065,             0.49883,             0.03413,            0.026042,           0.0046169,             0.00208,             0.00208,             0.00208
                  26,            0.031735,            0.027215,           0.0012905,             0.86033,             0.79986,             0.85932,              0.4976,            0.034183,            0.026358,           0.0049246,             0.00175,             0.00175,             0.00175
                  27,            0.031275,            0.026495,           0.0011115,             0.84655,              0.8109,             0.86147,             0.49925,            0.034136,            0.026429,           0.0051197,             0.00142,             0.00142,             0.00142
                  28,            0.031177,            0.026443,           0.0010849,             0.85523,             0.80068,             0.85781,              0.4977,            0.034002,            0.026339,           0.0055711,             0.00109,             0.00109,             0.00109
                  29,            0.031031,            0.026188,            0.001063,             0.86196,             0.80273,             0.86338,             0.50212,            0.033844,            0.026213,           0.0054005,             0.00076,             0.00076,             0.00076
