               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.071023,0.04531,0.019567,0.5284,0.52596,0.48927,0.19543,0.048035,0.03366,0.013415,0.0033302,0.0033302,0.070028
1,0.052089,0.037228,0.0084832,0.74053,0.66183,0.70979,0.34517,0.041852,0.030388,0.0087791,0.0064436,0.0064436,0.039808
2,0.048484,0.035873,0.0068277,0.773,0.68449,0.74814,0.36459,0.040492,0.029615,0.0076751,0.0093371,0.0093371,0.0093686
3,0.044079,0.035572,0.0059124,0.79048,0.71745,0.77354,0.38803,0.038398,0.029476,0.0064813,0.00901,0.00901,0.00901
4,0.041742,0.034483,0.0051609,0.80779,0.73033,0.78987,0.40884,0.037634,0.028483,0.0063736,0.00901,0.00901,0.00901
5,0.039938,0.0336,0.0043842,0.81072,0.73994,0.80899,0.42647,0.036734,0.02799,0.0059427,0.00868,0.00868,0.00868
6,0.038817,0.033096,0.0038441,0.83543,0.74386,0.82091,0.4425,0.035907,0.027545,0.0053962,0.00835,0.00835,0.00835
7,0.037854,0.031804,0.0035396,0.82064,0.75845,0.8213,0.4459,0.036205,0.027469,0.0052107,0.00802,0.00802,0.00802
8,0.03739,0.031999,0.0033786,0.82223,0.75387,0.81545,0.44476,0.035867,0.027854,0.0049901,0.00769,0.00769,0.00769
9,0.03657,0.031304,0.0032786,0.83203,0.76246,0.83071,0.4568,0.03518,0.027264,0.0049331,0.00736,0.00736,0.00736
10,0.036186,0.030937,0.0030514,0.81571,0.78293,0.83404,0.45959,0.034879,0.026851,0.0047121,0.00703,0.00703,0.00703
11,0.036045,0.031003,0.0030019,0.82624,0.78317,0.84036,0.461,0.035326,0.026972,0.0048435,0.0067,0.0067,0.0067
12,0.035443,0.030018,0.002686,0.82788,0.77217,0.83399,0.45931,0.035159,0.026949,0.0048757,0.00637,0.00637,0.00637
13,0.035114,0.029748,0.0026094,0.81631,0.78646,0.8386,0.46459,0.034974,0.026861,0.0051245,0.00604,0.00604,0.00604
14,0.034766,0.029631,0.0024954,0.83875,0.77825,0.84621,0.47067,0.034564,0.026743,0.005164,0.00571,0.00571,0.00571
15,0.034513,0.029428,0.0023574,0.83018,0.79882,0.85163,0.47467,0.034221,0.02642,0.0057794,0.00538,0.00538,0.00538
16,0.034163,0.029361,0.0020867,0.8458,0.78439,0.84885,0.47823,0.034107,0.026629,0.0050925,0.00505,0.00505,0.00505
17,0.034243,0.029205,0.0022061,0.84426,0.7956,0.85347,0.47994,0.033945,0.026474,0.0047841,0.00472,0.00472,0.00472
18,0.033926,0.029046,0.0021273,0.82909,0.80643,0.85097,0.47559,0.034427,0.026408,0.0048514,0.00439,0.00439,0.00439
19,0.033427,0.029233,0.0018519,0.8354,0.80223,0.85035,0.47968,0.033915,0.026447,0.0050509,0.00406,0.00406,0.00406
20,0.033299,0.028594,0.0018625,0.84448,0.8073,0.85676,0.48606,0.033817,0.026309,0.0049009,0.00373,0.00373,0.00373
21,0.033267,0.028374,0.0016837,0.84422,0.79744,0.84987,0.48198,0.03393,0.026342,0.0050888,0.0034,0.0034,0.0034
22,0.032642,0.027922,0.001644,0.84271,0.81226,0.85534,0.48343,0.033688,0.026241,0.0047256,0.00307,0.00307,0.00307
23,0.032637,0.028104,0.0016545,0.83877,0.80783,0.85718,0.4861,0.033764,0.026153,0.0048177,0.00274,0.00274,0.00274
24,0.032317,0.027352,0.0015791,0.84287,0.81395,0.86369,0.49176,0.033575,0.025822,0.0052547,0.00241,0.00241,0.00241
25,0.032071,0.027188,0.0015122,0.84017,0.81638,0.85883,0.49114,0.033473,0.025898,0.0055339,0.00208,0.00208,0.00208
26,0.031905,0.02719,0.0013856,0.84177,0.82084,0.86241,0.48782,0.033596,0.025949,0.0052948,0.00175,0.00175,0.00175
27,0.031844,0.027258,0.0013256,0.84434,0.80601,0.85717,0.48649,0.033624,0.026168,0.0052817,0.00142,0.00142,0.00142
28,0.031436,0.027308,0.0014125,0.83962,0.8093,0.8582,0.48744,0.033532,0.026084,0.005151,0.00109,0.00109,0.00109
29,0.031379,0.026569,0.0012678,0.84531,0.81217,0.86208,0.49072,0.033495,0.025955,0.0051621,0.00076,0.00076,0.00076
